ts,track_id,side,x,y,conf,source
1780885459.387,13,R,435.3,518.0,0.963,direct
1780885459.421,13,L,544.7,520.2,0.959,direct
1780885459.421,13,R,434.7,518.2,0.963,direct
1780885459.459,13,L,550.0,520.8,0.960,direct
1780885459.459,13,R,434.3,518.2,0.964,direct
1780885459.497,13,L,553.8,521.2,0.960,direct
1780885459.497,13,R,433.8,518.0,0.964,direct
1780885459.528,13,L,554.6,523.6,0.967,direct
1780885459.529,13,R,433.6,518.0,0.973,direct
1780885459.565,13,L,553.1,525.6,0.971,direct
1780885459.565,13,R,433.6,517.9,0.977,direct
1780885459.607,13,L,551.6,527.0,0.971,direct
1780885459.607,13,R,434.9,517.6,0.977,direct
1780885459.640,13,L,551.6,527.5,0.972,direct
1780885459.640,13,R,436.0,516.8,0.977,direct
1780885459.685,13,L,552.0,527.8,0.972,direct
1780885459.685,13,R,436.9,515.9,0.977,direct
1780885459.717,13,L,552.3,528.4,0.976,direct
1780885459.717,13,R,438.5,515.6,0.979,direct
